,0
523,negative
524,neutral
525,neutral
526,negative
527,negative
528,negative
529,negative
530,negative
531,negative
532,negative
533,negative
534,neutral
535,positive
536,neutral
537,negative
538,negative
539,negative
540,negative
541,neutral
542,negative
543,negative
544,neutral
545,negative
546,neutral
547,negative
548,negative
549,neutral
550,negative
551,negative
552,negative
553,negative
554,negative
555,negative
556,negative
557,negative
558,negative
559,negative
560,negative
561,negative
562,neutral
563,negative
564,negative
565,negative
566,negative
567,negative
568,negative
569,neutral
570,negative
571,negative
572,negative
573,neutral
574,negative
575,neutral
576,negative
577,neutral
578,negative
579,negative
580,negative
581,negative
582,negative
583,negative
584,negative
585,negative
586,neutral
587,negative
588,negative
589,neutral
590,neutral
591,neutral
592,negative
593,neutral
594,neutral
595,positive
596,positive
597,neutral
598,negative
599,neutral
600,neutral
601,negative
602,neutral
603,neutral
604,negative
605,negative
606,neutral
607,negative
608,negative
609,neutral
610,neutral
611,negative
612,neutral
613,negative
614,negative
615,negative
616,positive
617,neutral
618,neutral
619,neutral
620,neutral
621,neutral
622,negative
623,neutral
624,neutral
625,negative
626,neutral
627,neutral
628,positive
629,negative
630,negative
631,negative
632,negative
633,negative
634,negative
635,negative
636,negative
637,negative
638,negative
639,negative
640,negative
641,negative
642,negative
643,negative
644,negative
645,negative
646,negative
647,neutral
648,neutral
649,negative
650,positive
651,negative
652,negative
653,negative
654,negative
655,neutral
656,negative
657,neutral
658,neutral
659,negative
660,negative
661,negative
662,negative
663,negative
664,neutral
665,neutral
666,neutral
667,negative
668,neutral
669,negative
670,negative
671,neutral
672,negative
673,negative
674,negative
675,negative
676,negative
677,negative
678,negative
679,negative
680,negative
681,negative
682,neutral
683,negative
684,neutral
685,neutral
686,negative
687,negative
688,neutral
689,negative
690,negative
691,neutral
692,neutral
693,negative
694,negative
695,negative
696,neutral
697,negative
698,negative
699,negative
700,negative
701,negative
702,neutral
703,negative
704,negative
705,negative
706,negative
707,negative
708,negative
709,negative
710,negative
711,negative
712,negative
713,negative
714,negative
715,negative
716,negative
717,negative
718,negative
719,negative
720,neutral
721,negative
722,negative
723,negative
724,negative
725,neutral
726,positive
727,positive
728,negative
729,negative
730,neutral
731,negative
732,negative
733,negative
734,neutral
735,negative
736,negative
737,negative
738,negative
739,neutral
740,negative
741,negative
742,negative
743,neutral
744,negative
745,negative
746,negative
747,negative
748,negative
749,neutral
750,negative
751,negative
752,neutral
753,neutral
754,negative
755,neutral
756,neutral
757,neutral
758,negative
759,neutral
760,neutral
761,neutral
762,neutral
763,negative
764,neutral
765,neutral
766,negative
767,positive
768,neutral
769,negative
770,neutral
771,neutral
772,neutral
773,neutral
774,neutral
775,neutral
776,neutral
777,neutral
778,neutral
779,neutral
780,neutral
781,neutral
782,neutral
783,neutral
784,neutral
785,neutral
786,neutral
787,negative
788,negative
789,neutral
790,negative
791,negative
792,negative
793,negative
794,negative
795,negative
796,negative
797,negative
798,neutral
799,neutral
800,negative
801,neutral
802,negative
803,negative
804,negative
805,neutral
806,negative
807,neutral
808,negative
809,negative
810,neutral
811,negative
812,negative
813,neutral
814,negative
815,negative
816,negative
817,negative
818,neutral
819,negative
820,neutral
821,neutral
822,negative
823,negative
824,negative
825,negative
826,neutral
827,negative
828,negative
829,negative
830,neutral
831,neutral
832,negative
833,negative
834,negative
835,neutral
836,negative
837,negative
838,negative
839,negative
840,negative
841,negative
842,neutral
843,negative
844,neutral
845,negative
846,neutral
847,negative
848,negative
849,neutral
850,neutral
851,neutral
852,negative
853,negative
854,neutral
855,negative
856,neutral
857,negative
858,positive
859,neutral
860,negative
861,negative
862,negative
863,neutral
864,neutral
865,negative
866,negative
867,negative
868,negative
869,negative
870,negative
871,negative
872,negative
873,negative
874,negative
875,negative
876,negative
877,neutral
878,negative
879,neutral
880,neutral
881,neutral
882,negative
883,negative
884,negative
885,negative
886,negative
887,negative
888,negative
889,negative
890,positive
891,neutral
892,positive
893,neutral
894,negative
895,negative
896,neutral
897,neutral
898,neutral
899,negative
900,negative
901,neutral
902,neutral
903,neutral
904,neutral
905,neutral
906,negative
907,negative
908,negative
909,negative
910,negative
911,negative
912,negative
913,negative
914,negative
915,negative
916,neutral
917,neutral
918,neutral
919,negative
920,negative
921,neutral
922,neutral
923,negative
924,neutral
925,negative
926,negative
927,negative
928,negative
929,negative
930,negative
931,neutral
932,negative
933,negative
934,neutral
935,negative
936,negative
937,negative
938,negative
939,negative
940,neutral
941,neutral
942,neutral
943,neutral
944,negative
945,negative
946,negative
947,negative
948,negative
949,negative
950,negative
951,neutral
952,negative
953,negative
954,neutral
955,neutral
956,neutral
957,neutral
958,neutral
959,neutral
960,neutral
961,neutral
962,neutral
963,neutral
964,negative
965,neutral
966,negative
967,negative
968,negative
969,negative
970,neutral
971,neutral
972,negative
973,neutral
974,neutral
975,negative
976,negative
977,negative
978,negative
979,negative
980,negative
981,negative
982,neutral
983,neutral
984,neutral
985,neutral
986,neutral
987,neutral
988,neutral
989,neutral
990,neutral
991,neutral
992,neutral
993,neutral
994,neutral
995,neutral
996,neutral
997,neutral
998,neutral
999,neutral
1000,negative
1001,negative
1002,negative
1003,negative
1004,negative
1005,negative
1006,negative
1007,negative
1008,negative
1009,negative
1010,negative
1011,negative
1012,negative
1013,negative
1014,negative
1015,negative
1016,negative
1017,negative
1018,negative
1019,neutral
1020,neutral
1021,neutral
1022,negative
1023,negative
1024,neutral
1025,negative
1026,negative
1027,negative
1028,negative
1029,negative
1030,negative
1031,negative
1032,negative
1033,negative
1034,neutral
1035,negative
1036,negative
1037,negative
1038,negative
1039,neutral
1040,positive
1041,negative
1042,neutral
1043,negative
1044,negative
1045,negative
1046,negative
1047,negative
1048,negative
1049,negative
1050,negative
1051,neutral
1052,negative
1053,negative
1054,negative
1055,neutral
1056,negative
1057,neutral
1058,neutral
1059,neutral
1060,negative
1061,negative
1062,negative
1063,negative
1064,negative
1065,negative
1066,neutral
1067,negative
1068,negative
1069,negative
1070,negative
1071,negative
1072,negative
1073,negative
1074,neutral
1075,neutral
1076,neutral
1077,negative
1078,negative
1079,negative
1080,negative
1081,neutral
1082,negative
1083,negative
1084,neutral
1085,neutral
1086,negative
1087,neutral
1088,negative
1089,negative
1090,neutral
1091,negative
1092,negative
1093,neutral
1094,neutral
1095,neutral
1096,neutral
1097,neutral
1098,negative
1099,neutral
1100,negative
1101,negative
1102,neutral
1103,neutral
1104,neutral
1105,neutral
1106,neutral
1107,negative
1108,negative
1109,negative
1110,neutral
1111,neutral
1112,neutral
1113,negative
1114,negative
1115,negative
1116,negative
1117,negative
1118,negative
1119,negative
1120,neutral
1121,negative
1122,positive
1123,negative
1124,negative
1125,negative
1126,negative
1127,negative
1128,negative
1129,negative
1130,neutral
1131,neutral
1132,negative
1133,negative
1134,negative
1135,negative
1136,negative
1137,negative
1138,negative
1139,negative
1140,negative
1141,neutral
1142,negative
1143,positive
1144,negative
1145,negative
1146,negative
1147,negative
1148,negative
1149,negative
1150,negative
1151,negative
1152,negative
1153,neutral
1154,negative
1155,negative
1156,negative
1157,negative
1158,neutral
1159,negative
1160,negative
1161,negative
1162,negative
1163,negative
1164,negative
1165,negative
1166,negative
1167,neutral
1168,neutral
1169,neutral
1170,neutral
1171,negative
1172,neutral
1173,negative
1174,negative
1175,negative
1176,negative
1177,positive
1178,positive
1179,positive
1180,positive
1181,negative
1182,negative
1183,negative
1184,neutral
1185,neutral
1186,neutral
1187,neutral
1188,neutral
1189,neutral
1190,neutral
1191,neutral
1192,neutral
1193,neutral
1194,neutral
1195,neutral
1196,neutral
1197,neutral
1198,neutral
1199,neutral
1200,negative
1201,neutral
1202,neutral
1203,negative
1204,negative
1205,negative
1206,negative
1207,negative
1208,neutral
1209,negative
1210,negative
1211,negative
1212,negative
1213,negative
1214,negative
1215,negative
1216,negative
1217,negative
1218,negative
1219,neutral
1220,neutral
1221,negative
1222,negative
1223,neutral
1224,negative
1225,neutral
1226,neutral
1227,neutral
1228,negative
1229,negative
1230,negative
1231,positive
1232,positive
1233,neutral
1234,negative
1235,negative
1236,negative
1237,positive
1238,negative
1239,negative
1240,negative
1241,negative
1242,neutral
1243,neutral
1244,negative
1245,negative
1246,negative
1247,negative
1248,negative
1249,negative
1250,negative
1251,neutral
1252,negative
1253,neutral
1254,negative
1255,negative
1256,negative
1257,negative
1258,negative
1259,neutral
1260,negative
1261,negative
1262,neutral
1263,negative
1264,negative
1265,negative
1266,negative
1267,negative
1268,negative
1269,negative
1270,negative
1271,negative
1272,neutral
1273,negative
1274,negative
1275,negative
1276,negative
1277,negative
1278,neutral
1279,negative
1280,neutral
1281,neutral
1282,neutral
1283,neutral
1284,neutral
1285,neutral
1286,negative
1287,neutral
1288,neutral
1289,neutral
1290,neutral
1291,neutral
1292,neutral
1293,negative
1294,neutral
1295,neutral
1296,negative
1297,negative
1298,negative
1299,negative
1300,negative
1301,positive
1302,negative
1303,neutral
1304,neutral
1305,negative
1306,neutral
1307,neutral
1308,negative
1309,positive
1310,neutral
1311,neutral
1312,negative
1313,negative
1314,negative
1315,neutral
1316,neutral
1317,neutral
1318,negative
1319,neutral
1320,negative
1321,positive
1322,neutral
1323,negative
1324,negative
1325,negative
1326,negative
1327,neutral
1328,neutral
1329,neutral
1330,negative
1331,negative
1332,negative
1333,neutral
1334,neutral
1335,negative
1336,negative
1337,negative
1338,neutral
1339,negative
1340,negative
1341,negative
1342,neutral
1343,neutral
1344,negative
1345,neutral
1346,negative
1347,neutral
1348,neutral
1349,negative
1350,neutral
1351,negative
1352,neutral
1353,negative
1354,neutral
1355,negative
1356,negative
1357,negative
1358,negative
1359,negative
1360,neutral
1361,neutral
1362,neutral
1363,negative
1364,positive
1365,neutral
1366,negative
1367,negative
1368,neutral
1369,neutral
1370,negative
1371,negative
1372,neutral
1373,negative
1374,neutral
1375,neutral
1376,negative
1377,negative
1378,negative
1379,negative
1380,neutral
1381,negative
1382,negative
1383,neutral
1384,negative
1385,negative
1386,neutral
1387,negative
1388,positive
1389,neutral
1390,negative
1391,negative
1392,neutral
1393,negative
1394,negative
1395,negative
1396,negative
1397,negative
1398,negative
1399,negative
1400,neutral
1401,neutral
1402,negative
1403,negative
1404,negative
1405,negative
1406,neutral
1407,positive
1408,neutral
1409,negative
1410,negative
1411,negative
1412,neutral
1413,negative
1414,positive
1415,neutral
1416,neutral
1417,neutral
1418,neutral
1419,neutral
1420,neutral
1421,neutral
1422,negative
1423,negative
1424,neutral
1425,negative
1426,negative
1427,negative
1428,negative
1429,negative
1430,negative
1431,neutral
1432,neutral
1433,neutral
1434,positive
1435,negative
1436,negative
1437,neutral
1438,neutral
1439,negative
1440,negative
1441,negative
1442,positive
1443,negative
1444,negative
1445,negative
1446,negative
1447,negative
1448,negative
1449,negative
1450,negative
1451,negative
1452,negative
1453,neutral
1454,negative
1455,negative
1456,negative
1457,neutral
1458,negative
1459,neutral
1460,negative
1461,negative
1462,negative
1463,negative
1464,negative
1465,negative
1466,negative
1467,negative
1468,negative
1469,negative
1470,negative
1471,negative
1472,negative
1473,negative
1474,negative
1475,negative
1476,negative
1477,negative
1478,neutral
1479,neutral
1480,neutral
1481,neutral
1482,neutral
1483,neutral
1484,negative
1485,negative
1486,negative
1487,negative
1488,neutral
1489,negative
1490,negative
1491,neutral
1492,neutral
1493,neutral
1494,negative
1495,negative
1496,negative
1497,neutral
1498,negative
1499,negative
1500,neutral
1501,negative
1502,negative
1503,neutral
1504,negative
1505,neutral
1506,negative
1507,negative
1508,negative
1509,neutral
1510,neutral
1511,negative
1512,negative
1513,neutral
1514,neutral
1515,negative
1516,negative
1517,negative
1518,negative
1519,negative
1520,negative
1521,neutral
1522,negative
1523,neutral
1524,negative
1525,negative
1526,negative
1527,neutral
1528,negative
1529,negative
1530,neutral
1531,negative
1532,negative
1533,positive
1534,negative
1535,negative
1536,neutral
1537,negative
1538,neutral
1539,neutral
1540,negative
1541,neutral
1542,negative
1543,negative
1544,negative
1545,negative
1546,negative
1547,neutral
1548,negative
1549,negative
1550,neutral
1551,neutral
1552,positive
1553,neutral
1554,neutral
1555,neutral
1556,neutral
1557,neutral
1558,negative
1559,neutral
1560,negative
1561,neutral
1562,negative
1563,negative
1564,negative
1565,negative
1566,negative
1567,neutral
1568,neutral
1569,neutral
1570,neutral
1571,neutral
1572,neutral
1573,neutral
1574,negative
1575,neutral
1576,negative
1577,negative
1578,negative
1579,negative
1580,neutral
1581,negative
1582,neutral
1583,neutral
1584,positive
1585,positive
1586,positive
1587,negative
1588,negative
1589,negative
1590,negative
1591,neutral
1592,neutral
1593,neutral
1594,neutral
1595,negative
1596,negative
1597,negative
1598,negative
1599,negative
1600,negative
1601,neutral
1602,neutral
1603,neutral
1604,neutral
1605,neutral
1606,neutral
1607,negative
1608,negative
1609,negative
1610,negative
1611,negative
1612,neutral
1613,neutral
1614,neutral
1615,neutral
1616,negative
1617,negative
1618,neutral
1619,negative
1620,neutral
1621,negative
1622,negative
1623,neutral
1624,negative
1625,neutral
1626,positive
1627,neutral
1628,neutral
1629,neutral
1630,positive
1631,positive
1632,negative
1633,negative
1634,negative
1635,neutral
1636,neutral
1637,neutral
1638,neutral
1639,negative
1640,neutral
1641,negative
1642,positive
1643,negative
1644,neutral
1645,negative
1646,negative
1647,negative
1648,neutral
1649,negative
1650,negative
1651,negative
1652,positive
1653,positive
1654,positive
1655,positive
1656,negative
1657,negative
1658,neutral
1659,negative
1660,negative
1661,negative
1662,neutral
1663,negative
1664,negative
1665,negative
1666,negative
1667,neutral
1668,negative
1669,negative
1670,negative
1671,neutral
1672,neutral
1673,neutral
1674,neutral
1675,positive
1676,negative
1677,negative
1678,negative
1679,negative
1680,negative
1681,neutral
1682,negative
1683,positive
1684,negative
1685,negative
1686,negative
1687,neutral
1688,neutral
1689,neutral
1690,negative
1691,negative
1692,negative
1693,negative
1694,negative
1695,neutral
1696,negative
1697,neutral
1698,negative
1699,positive
1700,negative
1701,negative
1702,negative
1703,negative
1704,neutral
1705,negative
1706,negative
1707,negative
1708,negative
1709,negative
1710,neutral
1711,negative
1712,negative
1713,negative
1714,negative
1715,neutral
1716,neutral
1717,negative
1718,negative
1719,negative
1720,positive
1721,negative
1722,neutral
1723,negative
1724,negative
1725,negative
1726,neutral
1727,neutral
1728,neutral
1729,negative
1730,neutral
1731,neutral
1732,negative
1733,neutral
1734,negative
1735,negative
1736,negative
1737,neutral
1738,neutral
1739,neutral
1740,negative
1741,neutral
1742,neutral
1743,neutral
1744,negative
1745,negative
1746,negative
1747,negative
1748,negative
1749,neutral
1750,negative
1751,negative
1752,negative
1753,negative
1754,negative
1755,negative
1756,negative
1757,negative
1758,neutral
1759,negative
1760,negative
1761,negative
1762,negative
1763,neutral
1764,negative
1765,negative
1766,neutral
1767,neutral
1768,negative
1769,neutral
1770,neutral
1771,neutral
1772,neutral
1773,negative
1774,negative
1775,negative
1776,neutral
1777,negative
1778,neutral
1779,negative
1780,negative
1781,negative
1782,negative
1783,negative
1784,negative
1785,negative
1786,negative
1787,positive
1788,negative
1789,negative
1790,negative
1791,negative
1792,negative
1793,negative
1794,negative
1795,negative
1796,negative
1797,negative
1798,negative
1799,negative
1800,neutral
1801,neutral
1802,negative
1803,negative
1804,negative
1805,negative
1806,negative
1807,positive
1808,positive
1809,neutral
1810,neutral
1811,negative
1812,negative
1813,negative
1814,negative
1815,positive
1816,positive
1817,negative
1818,negative
1819,negative
1820,negative
1821,neutral
1822,neutral
1823,negative
1824,negative
1825,negative
1826,neutral
1827,negative
1828,negative
1829,negative
